gloveOrHand,observation,year
hand,https://www.inaturalist.org/observations/59419189,2017
glove,https://www.inaturalist.org/observations/59424239,2017
hand,https://www.inaturalist.org/observations/59425115,2017
hand,https://www.inaturalist.org/observations/59460097,2005
hand,https://www.inaturalist.org/observations/59554827,2013
glove,https://www.inaturalist.org/observations/59606392,2015
glove,https://www.inaturalist.org/observations/59606394,2015
glove,https://www.inaturalist.org/observations/59606395,2015
glove,https://www.inaturalist.org/observations/59606398,2016
hand,https://www.inaturalist.org/observations/59606399,2013
hand,https://www.inaturalist.org/observations/59609544,2016
glove,https://www.inaturalist.org/observations/59610172,2017
hand,https://www.inaturalist.org/observations/59617569,2020
glove,https://www.inaturalist.org/observations/59635625,2020
hand,https://www.inaturalist.org/observations/59826958,2010
hand,https://www.inaturalist.org/observations/59871363,2020
glove,https://www.inaturalist.org/observations/59879279,2020
glove,https://www.inaturalist.org/observations/59901716,2020
hand,https://www.inaturalist.org/observations/59922602,2020
glove,https://www.inaturalist.org/observations/59923272,2020
hand,https://www.inaturalist.org/observations/59924730,2020
glove,https://www.inaturalist.org/observations/59925302,2020
hand,https://www.inaturalist.org/observations/59951060,2020
hand,https://www.inaturalist.org/observations/59954843,2020
glove,https://www.inaturalist.org/observations/59956121,2020
glove,https://www.inaturalist.org/observations/59972250,2020
glove,https://www.inaturalist.org/observations/60006306,2020
glove,https://www.inaturalist.org/observations/60011546,2020
glove,https://www.inaturalist.org/observations/60058991,2020
glove,https://www.inaturalist.org/observations/60081729,2020
glove,https://www.inaturalist.org/observations/60122275,2017
hand,https://www.inaturalist.org/observations/60122276,2017
hand,https://www.inaturalist.org/observations/60122278,2017
hand,https://www.inaturalist.org/observations/60127679,2017
hand,https://www.inaturalist.org/observations/60127682,2017
glove,https://www.inaturalist.org/observations/60209979,2020
hand,https://www.inaturalist.org/observations/60228229,2020
hand,https://www.inaturalist.org/observations/60290705,2018
glove,https://www.inaturalist.org/observations/60319239,2020
glove,https://www.inaturalist.org/observations/60319413,2020
glove,https://www.inaturalist.org/observations/60338824,2020
glove,https://www.inaturalist.org/observations/60339444,2020
glove,https://www.inaturalist.org/observations/60339901,2020
glove,https://www.inaturalist.org/observations/60386729,2020
glove,https://www.inaturalist.org/observations/60447005,2020
glove,https://www.inaturalist.org/observations/60464953,2015
glove,https://www.inaturalist.org/observations/60466274,2015
hand,https://www.inaturalist.org/observations/60466577,2015
hand,https://www.inaturalist.org/observations/60521221,2017
hand,https://www.inaturalist.org/observations/60521418,2011
hand,https://www.inaturalist.org/observations/60521604,2015
hand,https://www.inaturalist.org/observations/60523067,2019
hand,https://www.inaturalist.org/observations/60523352,2019
hand,https://www.inaturalist.org/observations/60523618,2019
hand,https://www.inaturalist.org/observations/60581151,2020
hand,https://www.inaturalist.org/observations/60627092,2013
hand,https://www.inaturalist.org/observations/60631193,2019
hand,https://www.inaturalist.org/observations/60691593,2020
hand,https://www.inaturalist.org/observations/60725080,2014
hand,https://www.inaturalist.org/observations/60800043,2019
hand,https://www.inaturalist.org/observations/60803609,2015
hand,https://www.inaturalist.org/observations/60803862,2013
hand,https://www.inaturalist.org/observations/60875885,2019
hand,https://www.inaturalist.org/observations/61135502,2016
hand,https://www.inaturalist.org/observations/61136323,2017
hand,https://www.inaturalist.org/observations/61136718,2017
hand,https://www.inaturalist.org/observations/61202487,2020
glove,https://www.inaturalist.org/observations/61232666,2020
hand,https://www.inaturalist.org/observations/61257729,2020
hand,https://www.inaturalist.org/observations/61275434,2020
glove,https://www.inaturalist.org/observations/61278302,2020
hand,https://www.inaturalist.org/observations/61283421,2016
glove,https://www.inaturalist.org/observations/61312296,2020
hand,https://www.inaturalist.org/observations/61367360,2020
hand,https://www.inaturalist.org/observations/61370878,2020
hand,https://www.inaturalist.org/observations/61370966,2020
hand,https://www.inaturalist.org/observations/61371138,2020
hand,https://www.inaturalist.org/observations/61371178,2020
glove,https://www.inaturalist.org/observations/61398301,2020
hand,https://www.inaturalist.org/observations/61417479,2020
hand,https://www.inaturalist.org/observations/61441542,2016
hand,https://www.inaturalist.org/observations/61441673,2016
hand,https://www.inaturalist.org/observations/61441745,2016
hand,https://www.inaturalist.org/observations/61442176,2016
hand,https://www.inaturalist.org/observations/61473940,2018
hand,https://www.inaturalist.org/observations/61484546,2008
hand,https://www.inaturalist.org/observations/61503737,2008
glove,https://www.inaturalist.org/observations/61509476,2019
hand,https://www.inaturalist.org/observations/61510586,2017
glove,https://www.inaturalist.org/observations/61510588,2017
glove,https://www.inaturalist.org/observations/61510589,2017
glove,https://www.inaturalist.org/observations/61510591,2017
glove,https://www.inaturalist.org/observations/61510592,2017
glove,https://www.inaturalist.org/observations/61510593,2017
glove,https://www.inaturalist.org/observations/61510594,2017
glove,https://www.inaturalist.org/observations/61510595,2017
hand,https://www.inaturalist.org/observations/61510597,2017
hand,https://www.inaturalist.org/observations/61510598,2017
hand,https://www.inaturalist.org/observations/61510599,2017
